latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
43.776301199185646,11.230094365475383,30,87,0.20000000298023224,0,1,-2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,43.77645833333333,11.23499166666667,10,1,-1,-1
43.77647162673903,11.234257153866496,60,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,10,1,-1,-1
43.77654331951616,11.234926069246617,5.10,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.776521994714095,11.234889768726756,5.20,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77649299140322,11.234865758602302,5.30,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77645980780258,11.234856934848613,5.40,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.776426446340686,11.23486436174061,5.49,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77639693090514,11.234887143485516,5.59,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77637482150107,11.234922532268664,5.69,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.776362784858215,11.234966259680526,5.79,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77636227277959,11.235013051549886,5.89,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77637334702973,11.235057264086722,5.99,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.776394671884816,11.235093564606583,6.09,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77642367524338,11.235117574731039,6.19,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
43.77645685886406,11.235126398484725,6.28,91,16.04163932800293,0,1,-40.7016846413882,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,1,0,43.77645833333333,11.23499166666667,8,1,-1,-1
